IOC,类型,平台加黑,处置动作,威胁类型,发现日期,备注,附件,是否历史已加黑,记录创建详细日期(检查是否历史已加黑工作流使用)
wps-ps.com.cn,域名,,拉黑,钓鱼仿冒,2026/03/25,,,,2026/03/25 10:15
google-chrom.cn,域名,,拉黑,钓鱼仿冒,2026/03/25,,,,2026/03/25 09:43
models.litellm.cloud,域名,"dlp, bd",拉黑,供应链攻击,2026/03/25,Litellm供应链攻击，数据外泄（tpcp.tar.gz），来源https://mp.weixin.qq.com/s/Ck3iqEYBJYoIoZmdYRatag,,,2026/03/25 09:10
checkmarx.zone,域名,"dlp, bd",拉黑,供应链攻击,2026/03/25,Litellm供应链攻击，持久化 C2（下载二进制）,,,2026/03/25 09:12
71e35aef03099cd1f2d6446734273025a163597de93912df321ef118bf135238,Hash,"dlp, bd",拉黑,供应链攻击,2026/03/25,Litellm供应链攻击，litellm_init.pth,,,2026/03/25 09:14
noteipad.com,域名,,历史已拉黑,钓鱼仿冒,2026/03/25,,,2026/01/16已加黑,2026/03/25 11:08
openclaw.qt.cool,域名,,拉黑,钓鱼仿冒,2026/03/25,,,,2026/03/25 11:12
claudelab.net,域名,,拉黑,钓鱼仿冒,2026/03/25,,,,2026/03/25 11:22
clavdecode.it.com,域名,"dlp, edr, bd",拉黑,钓鱼仿冒,2026/03/24,,,,2026/03/24 09:07
npmjs.help,域名,"dlp, edr, bd",拉黑,钓鱼仿冒,2026/03/24,,,,2026/03/24 09:08
qudong-app.cn,域名,"dlp, edr, bd",拉黑,钓鱼仿冒,2026/03/24,lidar告警，仿冒驱动站点,,,2026/03/24 10:25
gemini-info.com,域名,"dlp, edr, bd",拉黑,钓鱼仿冒,2026/03/23,,,,2026/03/23 09:04
btc.com,域名,"dlp, edr, bd",拉黑,公共矿池,2026/03/23,lidar告警,,,2026/03/23 09:05
snipastea.com,域名,"dlp, edr, bd",拉黑,钓鱼仿冒,2026/03/23,lidar告警,,,2026/03/23 16:20
dldlfgbndj.top,域名,"dlp, edr, bd",拉黑,钓鱼仿冒,2026/03/23,lidar告警,,,2026/03/23 17:03
